row_type,rule_id,rule_name,kind,trigger_field,trigger_value,transaction_type,section,document_name,required,action,note,vault_filename
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[AD] Disclosure Regarding Real Estate Agency Relationships,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[RLA] Residential Listing Agreement,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[MLSA] Multiple Listing Service Addendum,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[BCA] Broker Compensation Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[PRBS] Possible Representation of more than one Buyer or Seller,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[FHDA] Fair Housing & Discrimination Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[SA] Seller's Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Agreement Documents,[CCPA] California Consumer Privacy Act Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,[Compass ABAD] Compass Affiliated Business Arrangement Disclosure,true,,Duplicate w/checklist below. Only needs to be signed by Seller once,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,[Compass ARVR]  Advisory Regarding Vendor / Service Provider Recommendations,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,[DIA] Disclosure Information Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,[MCA] Market Conditions Advisory,true,,Duplicate w/checklist below. Only needs to be signed by Seller once,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,[WFA] Wire Fraud Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,[CMA] Comparative Market Analysis,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,NHD Invoice,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,Preliminary Title Report,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,Realist Property Details,true,,Duplicate w/checklist below. Only needs to be signed by Seller once,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,Compass Seller Acknowledgement of Obligation to Secure Belongings,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,MLS Printout,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Listing Disclosures,Rejected Offer 1,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Questionnaires,[TDS] Transfer Disclosure Statement,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Questionnaires,[AVID] Agent Visual Inspection Disclosure - Listing Agent,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Questionnaires,[SPQ] Seller Property Questionnaire,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Inspection Reports,Home Inspection,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Inspection Reports,Pest Inspection,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Inspection Reports,<Other inspection reports>,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Preliminary Title Report,Preliminary Title Report,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Preliminary Title Report,Prelim Links (#),true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Property Specific,[NHD] Natural Hazard Disclosure Report,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Property Specific,[SFLS] Square Footage and Lot Size Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Property Specific,Realist Property Details,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),[MCA] Market Conditions Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),[SBSA] Statewide Buyer & Seller Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),County Disclosures and Disclaimers Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),[WFDA] Wildfire Disaster Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),[Compass ABAD] Affiliated Business Arrangement Disclosure,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),[Compass EHA] Environmental Hazards Advisory,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),"[Compass PTR] Buyer Preliminary Title Report (""PTR"") Advisory",true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),[Compass RFL] Receipt to Links for Booklets,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Seller Disclosures - Standard (not property specific),"[Compass WRSC] California Water Restrictions, Shortages, and Conservation Advisory",true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Buyer Inspection Reports,Buyer's Home Inspection,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Buyer Inspection Reports,Buyer's Pest Inspection,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Buyer Inspection Reports,[BIW] Buyer Inspection Waiver,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Buyer Inspection Reports,<Enter Additional Buyer Inspection Reports Here>,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Other In-Escrow Disclosures and Reports,[Updated Prelim] Updated Preliminary Title Report,true,,,
standard_doc,10011,Standard Listing Checklist,standard,transactionType,Listing,listing,Other In-Escrow Disclosures and Reports,[AVID] Agent Visual Inspection Disclosure - Buyer's Agent,true,,,
